shortTerm,longTerm,totalReturns,totalTrades,recommendedDifference
15,55,1.33444251523314,7,0.001
4,72,1.17755445741309,4,0.001
3,24,1.17376476164317,9,0.001
3,48,1.16494852343242,5,0.001
27,82,1.14408352947684,7,0.001
3,82,1.13712729944049,4,0.001
14,52,1.13065327596449,8,0.001
16,66,1.12673700991132,4,0.001
15,48,1.122171934962,8,0.001
22,82,1.12013743385657,4,0.001
7,61,1.11933811233841,5,0.001
21,48,1.10874536524909,12,0.001
12,66,1.10475706836271,5,0.001
4,37,1.1009428522192,4,0.001
12,41,1.09938575066789,6,0.001
6,83,1.0947868701639,6,0.001
14,81,1.09260677712341,8,0.001
25,57,1.0914598385923,14,0.001
3,64,1.08929085894815,8,0.001
5,81,1.08886256365974,6,0.001
18,79,1.08759540527458,6,0.001
19,79,1.08759540527458,5,0.001
20,77,1.08759540527458,5,0.001
21,52,1.08599138286826,16,0.001
6,81,1.08175362184393,4,0.001
6,80,1.07819926393062,5,0.001
30,66,1.07593915764513,18,0.001
13,61,1.07525039067904,10,0.001
21,51,1.07270011168193,13,0.001
3,35,1.06811843836388,9,0.001
31,64,1.06415580047445,22,0.001
16,62,1.05944255294818,7,0.002
10,56,1.05862553085419,4,0.001
20,72,1.02332027560287,5,0.001
26,59,1.01783975740758,14,0.001
15,68,1.01445259252576,3,0.001
12,28,1.00842700638904,15,0.001
3,37,0.99139867105452,9,0.001
12,84,0.987654374976663,3,0.001
5,77,0.977631345325727,10,0.001
5,52,0.968263171409009,5,0.001
9,74,0.961175777244538,4,0.001
25,61,0.946622532724545,11,0.001
3,56,0.94345068975472,5,0.001
16,53,0.939786175168232,8,0.001
4,66,0.926285661969866,6,0.001
14,71,0.916064572498916,4,0.001
4,62,0.913376900983631,8,0.001
3,57,0.912549638719371,4,0.001
15,51,0.906267200385744,7,0.002
15,52,0.906267200385744,7,0.001
11,67,0.904522663370109,4,0.001
8,55,0.900279968854119,6,0.001
17,64,0.898276929425237,3,0.001
18,60,0.898276929425237,6,0.001
18,61,0.898276929425237,7,0.001
10,49,0.892134929705627,7,0.001
17,53,0.891050633162357,4,0.001
22,56,0.890455282770046,26,0.002
10,55,0.888078600099182,7,0.002
14,48,0.88408208136476,5,0.001
15,56,0.88408208136476,5,0.001
9,55,0.884033633020361,4,0.001
31,65,0.883407328244411,22,0.001
11,74,0.87895612007379,7,0.001
12,30,0.874645926456445,14,0.001
28,63,0.872854486345501,21,0.001
26,61,0.870025870695414,14,0.001
27,63,0.86896912012164,13,0.001
26,60,0.868288962620969,16,0.001
62,82,0.867245911975976,21,0.001
25,58,0.864661671079553,16,0.001
19,82,0.858242704758584,5,0.001
22,54,0.85493260468872,10,0.001
23,64,0.850705020317441,7,0.001
27,69,0.846658308326541,8,0.001
5,20,0.836765901335565,16,0.001
31,63,0.827037783034454,34,0.001
5,51,0.823722142054974,13,0.002
10,61,0.823373449854104,8,0.001
21,74,0.820906628884439,10,0.002
26,73,0.817851989562088,7,0.001
25,60,0.815930136797883,16,0.001
8,62,0.813004117467313,6,0.001
30,67,0.811144668160434,16,0.001
4,63,0.811126934983079,17,0.002
11,63,0.804866405288925,7,0.001
21,54,0.801026803025377,14,0.001
33,59,0.800886764315398,22,0.001
27,61,0.797230175482005,16,0.001
24,58,0.794091069532559,30,0.002
18,81,0.793013381361405,8,0.001
25,59,0.792296116111257,32,0.002
22,55,0.791053152010659,14,0.001
27,70,0.786647323118791,9,0.001
19,62,0.783743874463012,7,0.001
30,64,0.783187123966054,24,0.001
7,77,0.778298559306195,14,0.002
31,81,0.776198898175873,7,0.001
20,81,0.773103278509571,13,0.002
4,71,0.771364401710139,16,0.002
5,83,0.767119856465534,5,0.001
18,75,0.762906354379357,7,0.002
4,65,0.760303473344696,11,0.001
24,69,0.756242002979835,9,0.001
24,37,0.753170443517849,20,0.001
22,73,0.748046579697532,9,0.002
22,50,0.736571804268559,13,0.001
58,79,0.736192850655434,17,0.001
16,64,0.729218772924506,11,0.002
15,79,0.7257554438371,5,0.001
29,69,0.72148811710296,23,0.002
20,82,0.717201559325905,8,0.001
27,48,0.713351938865521,14,0.001
22,51,0.702419787788597,12,0.001
21,83,0.701647538583993,8,0.001
6,76,0.693578967277956,9,0.001
10,27,0.692570737762094,14,0.001
15,30,0.691158914843947,16,0.001
3,79,0.69005850060601,7,0.001
47,82,0.689311215100415,17,0.001
13,45,0.688670248355473,7,0.001
12,67,0.687221127635362,9,0.002
14,67,0.682885926291127,6,0.001
